DATE,COMPANY,PRODUCT,TICKER,PRODUCT PRICE,SHARE PRICE,PRODUCT % CHANGE,SHARE % CHANGE,
2022-10-11,Vita Coco Company,Coconut Water,COCO,13.76,12.15,0.0,0.0,
2022-10-16,Vita Coco Company,Coconut Water,COCO,13.76,11.33,0.0,-0.0675,
2022-10-23,Vita Coco Company,Coconut Water,COCO,13.76,10.7,0.0,-0.0556,
2022-10-31,Vita Coco Company,Coconut Water,COCO,13.76,10.69,0.0,-0.001,
2022-11-07,Vita Coco Company,Coconut Water,COCO,13.76,9.45,0.0,-0.116,
2022-11-08,Vita Coco Company,Coconut Water,COCO,13.76,9.29,0.0,-0.0169,
