DATE,COMPANY,PRODUCT,TICKER,PRODUCT PRICE,SHARE PRICE,PRODUCT % CHANGE,SHARE % CHANGE,
2022-10-11,Procter & Gamble,Tide Pods,PG,21.24,124.23,0.0,0.0,
2022-10-16,Procter & Gamble,Tide Pods,PG,19.94,125.08,-0.0612,0.0068,
2022-10-23,Procter & Gamble,Tide Pods,PG,21.49,128.58,0.0777,0.0280,
2022-10-31,Procter & Gamble,Tide Pods,PG,21.49,134.995,0.0,0.05,
2022-11-07,Procter & Gamble,Tide Pods,PG,21.49,136.5,0.0,0.0111,
2022-11-08,Procter & Gamble,Tide Pods,PG,21.49,136.695,0.0,0.0014,
2022-11-23,Procter & Gamble,Tide Pods,PG,21.49,146.49,0.0,0.0717,
